"id","name","mets","classify"
1,泡澡，静坐,1.0,日常活动
2,温和的伸展运动,2.5,拉伸
3,伸展运动，哈达瑜伽,2.5,瑜伽
4,动感单车较低强度,3.0,有氧（自行车）
5,举重，中等强度,8.0,力量训练（器械）
6,在家做健美操，中低强度,3.5,有氧操
7,划船机，50瓦特，低强度,3.5,有氧（器械）
8,水中有氧运动，水中健美操,4.0,有氧操
9,动感单车低强度,5.5,有氧（自行车）
10,健身俱乐部活动,5.5,跑步
11,减肥操，爵士健身操,6.0,有氧操
12,教授有氧运动课程,6.0,有氧
13,举重，塑形运动，高强度,12.0,力量训练（器械）
14,动感单车中强度,7.0,""
15,单车训练,7.0,有氧（自行车）
16,划船器，测力计,7.0,有氧（器械）
17,划船器，100瓦特，中等强度,8.5,有氧（器械）
18,滑雪器，一般,7.0,有氧（器械）
19,柔软体操，高强度,8.0,体操
20,划船机，150瓦特，高等强度,8.5,有氧（器械）
21,踏板机,6.5,有氧（器械）
22,动感单车高强度,10.5,有氧（器械）
23,划船器，200瓦特，非常高强度,12.0,有氧（器械）
24,单车训练，250瓦特，非常高强度,12.5,有氧（自行车）
25,办公室工作(坐着)，阅读或开车,1.5,日常活动
26,开会（坐着），发言,1.5,日常活动
27,打字,1.5,日常活动
28,裁缝，手工缝制衣服,2.0,家务
29,走路，在办公区域，速度小于3.2公里/小时,2.0,走路
30,装订书本,2.3,日常活动
31,印刷（站着）,2.3,日常活动
32,说话，整理文件和复印（站着）,2.3,日常活动
33,烤点心（轻度劳动）,2.5,家务
34,整理床铺，护理病人或老人,2.5,家务
35,清理水池和厕所（轻度劳动）,2.5,家务
36,拂尘（轻度劳动）,2.5,家务
37,用吸尘器打扫（轻度劳动）,2.5,家务
38,开叉车（坐着），教授瑜伽课程,2.5,工作
39,用吸尘器打扫房间，中等强度,3.0,家务
40,走路，在工作场所，速度4.8公里/小时，中速,3.3,走路
41,拖地，中等强度,3.5,家务
42,清洁工作，中等强度,3.5,家务
43,走路，在工作场所，轻快的，速度5.6公里/小时,3.8,走路
44,给人按摩（站着）,4.0,日常活动
45,裁缝活，熨烫衣服,4.0,家务
46,教授体育课（自己不参加体育比赛）,4.0,工作
47,推着轮椅走,4.0,走路
48,走路，速度4.8公里/小时，提着25磅的东西,4.0,走路
49,教体育课（活跃状态）,6.5,跑步
50,和小孩一起斜靠着休息,1.5,日常活动
51,编织，缝补衣物，包装礼物（坐着）,1.5,家务
52,烹调/准备食物（站着或坐着）,2.0,家务
53,洗衣服，叠衣服，晾衣服（站着）,2.0,家务
54,整理床铺,2.0,家务
55,换灯泡，打气（站着）,2.0,家务
56,采购食物,2.3,家务
57,收拾衣服，洗衣服（走动着）,2.3,家务
58,烫衣服,2.3,家务
59,洗碗（站着）,2.3,家务
60,照顾小孩：坐着或跪着给小孩穿衣服，喂奶,2.5,家务
61,清洁（轻度劳动）：拂尘，丢垃圾,2.5,家务
62,烹调/准备食物（走动着）,2.5,家务
63,喂养宠物,2.5,家务
64,大扫除（轻度劳动）,2.5,家务
65,提行李，收拾行李,2.5,日常活动
66,做饭，摆饭桌（站着或走动着）,2.5,家务
67,与孩子、宠物玩耍（坐着）,2.5,休闲娱乐
68,洗碗，走动着清理餐桌,2.5,家务
69,给植物浇水,2.5,园艺活动
70,与孩子、宠物玩耍（站着，走着，跑着）,2.8,休闲娱乐
71,抱小孩,3.0,日常活动
72,照顾小孩：站着给小孩穿衣服，洗澡，喂奶,3.0,家务
73,打扫，高强度（如洗车，擦玻璃）,3.0,家务
74,打扫房间,3.0,家务
75,收拾东西,3.0,家务
76,清洁地毯，清洁地板,3.3,家务
77,拖地,3.5,家务
78,家务劳动，中等强度,3.5,家务
79,给狗洗澡（站着）,3.5,家务
80,收拾行李（站着），中等强度,3.5,日常活动
81,用吸尘器打扫房间,3.5,家务
82,擦地板（跪在地上擦），清洁浴室,3.8,家务
83,照顾老人，残疾人,4.0,家务
84,家务劳动，高强度,4.0,家务
85,打扫车库，人行道或室外其他地方,4.0,家务
86,跟动物玩耍（走着/跑着），中等强度,4.0,休闲娱乐
87,跟孩子玩耍（走着/跑着），中等强度,4.0,休闲娱乐
88,跟孩子或宠物玩耍（走着/跑着），高强度,5.0,休闲娱乐
89,搬家居，搬箱子,6.0,日常活动（负重）
90,提着东西上楼梯,7.5,日常活动（负重）
91,搬家具上楼，搬箱子,9.0,日常活动（负重）
92,走跑结合（跑步时间少于10分钟）,6.0,走跑
93,慢跑（约7km/h）,7.0,跑步
94,跑步，8公里/小时,8.6,""
95,跑步，训练，推轮椅,8.0,跑步
96,跑步，8.4公里/小时,9.0,跑步
97,跑步，越野跑,9.0,跑步
98,跑步，9.7公里/小时,10.0,跑步
99,跑步，在小路上，小组跑,10.0,跑步
100,跑步，10.8公里/小时,11.0,跑步
101,跑步，11.3公里/小时,11.5,跑步
102,跑步，12.1公里/小时,12.5,跑步
103,跑步，12.9公里/小时,13.5,跑步
104,跑步，13.8公里/小时,14.0,跑步
105,跑步，14.5公里/小时,15.0,跑步
106,跑步，上楼梯,15.0,跑步
107,跑步，16公里/小时,16.0,跑步
108,跑步，17.5公里/小时,18.0,跑步
109,修汽车,3.0,体力活
110,木工活,3.0,体力活
111,安装电线，安装管道,3.0,体力活
112,修理或加工车身,4.0,体力活
113,木匠活，修缮储物间或家具,4.5,体力活
114,铺地毯或收起地毯,4.5,体力活
115,铺砖或油毯，修理装置,4.5,体力活
116,粉刷,4.5,体力活
117,清洁篱笆，修篱笆,4.5,体力活
118,清理排水沟,5.0,体力活
119,在室外粉刷,5.0,体力活
120,睡觉,1.0,日常活动
121,乘公共汽车,1.0,日常活动
122,坐汽车或卡车,1.0,日常活动
123,思考,1.0,日常活动
124,靠着阅读,1.0,日常活动
125,靠着说话，打电话,1.0,日常活动
126,写字,1.0,日常活动
127,听音乐（躺）,1.0,日常活动
128,看电视（躺）,1.0,日常活动
129,看电视（坐）,1.0,日常活动
130,抽烟，听音乐（坐）,1.0,日常活动
131,站着，安静的,1.2,日常活动
132,读书看报（坐）,1.3,日常活动
133,洗澡（坐）,1.5,日常活动
134,吃东西（坐）,1.5,日常活动
135,聚餐，家庭聚会，坐着吃东西,1.5,休闲娱乐
136,做手工艺品（轻度劳动）,1.5,休闲娱乐
137,说话，打电话（坐）,1.5,日常活动
138,看比赛（坐）,1.5,休闲娱乐
139,上课，做笔记，课堂讨论（坐）,1.8,日常活动
140,学习，看书，写字（坐）,1.8,日常活动
141,写作，文字工作，打字（坐）,1.8,日常活动
142,做手工艺品（站着，轻度劳动）,1.8,休闲娱乐
143,说话，打电话（站着）,1.8,日常活动
144,阅读（站着）,1.8,休闲娱乐
145,开汽车,2.0,日常活动
146,穿衣服，脱衣服（站或坐）,2.0,日常活动
147,梳妆打扮（站或坐）,2.0,日常活动
148,淋浴（站）,2.0,日常活动
149,铺床（站）,2.0,日常活动
150,谈话、吃东西（站）,2.0,日常活动
151,做手工艺品（中度劳动）,2.0,休闲娱乐
152,站着,2.0,日常活动
153,旅行，度假，骑马,2.0,休闲娱乐
154,驾驶摩托车,2.5,休闲娱乐
155,做头发,2.5,休闲娱乐
156,宿营，扎帐篷（站着或走动）,2.5,休闲娱乐
157,做手工艺品和艺术品，站着，中强度,3.0,休闲娱乐
158,做手工艺品和艺术品，站着，高强度,3.5,休闲娱乐
159,划船,2.5,水上运动
160,潜水，跳台跳水，跳板跳水,3.0,水上运动
161,"冲浪、冰上快艇,常规",3.0,水上运动
162,水上排球,3.0,水上运动
163,划独木舟，划船,3.5,水上运动
164,游泳，踩水,4.0,水上运动
165,水上有氧操，水上健美操,5.5,水上运动
166,划皮船,5.0,水上运动
167,航海比赛,5.0,水上运动
168,游泳，在湖、河或海里,6.0,水上运动
169,游泳，放松的,6.0,水上运动
170,划独木舟，速度7.2-9.5公里/小时，中等强度,7.0,水上运动
171,潜游，带水中呼吸器潜水,7.0,水上运动
172,仰泳,7.0,水上运动
173,慢速自由式游泳,7.0,水上运动
174,慢速狗刨游泳（50码/分钟）,8.0,水上运动
175,水中慢跑,8.0,水上运动
176,快速自由式游泳,10.0,水上运动
177,蛙泳,10.0,水上运动
178,游泳，快速踩水，高强度,10.0,水上运动
179,水球,10.0,水上运动
180,蝶泳,11.0,水上运动
181,快速狗刨游泳（75码/分钟）,11.0,水上运动
182,划独木舟，速度大于9.7公里/小时，高强度,12.0,水上运动
183,划独木舟比赛，团队比赛或双桨划水,12.0,水上运动
184,中速潜游,12.5,水上运动
185,快速潜游,16.0,水上运动
186,打台球,2.5,其他体育运动
187,掷飞镖,2.5,其他体育运动
188,足球，棒球，捉迷藏,2.5,其他体育运动
189,骑马，走路,2.5,其他体育运动
190,保龄球,3.0,球类运动
191,玩飞盘,3.0,其他体育运动
192,在练习场地打小型高尔夫,3.0,球类运动
193,排球，非比赛，6-9人打,3.0,球类运动
194,射箭（非打猎）,3.5,其他体育运动
195,高尔夫，使用电动球车,3.5,球类运动
196,乘风滑翔,3.5,其他体育运动
197,骑马，给马装马鞍，给马刷鬃毛,3.5,其他体育运动
198,跳伞,3.5,其他体育运动
199,蹦床,3.5,其他体育运动
200,做教练：橄榄球、足球、棒球、游泳等,4.0,其他体育运动
201,健美操,4.0,有氧操
202,踢沙包,4.0,其他体育运动
203,骑马,4.0,其他体育运动
204,乒乓球,4.0,""
205,太极,4.0,其他体育运动
206,田径（射击，掷铁饼，铅球）,4.0,其他体育运动
207,排球,4.0,""
208,羽毛球，单打，双打,4.5,球类运动
209,篮球，投篮,4.5,球类运动
210,高尔夫,4.5,球类运动
211,高尔夫，提着装备走路,4.5,球类运动
212,儿童游戏（跳房子，丛林游戏，抓子游戏）,5.0,休闲娱乐
213,板球（击球，滚球）,5.0,球类运动
214,滑板,5.0,球类运动
215,垒球或棒球，快速或慢速掷,5.0,球类运动
216,打网球：双打,6.0,球类运动
217,篮球（非比赛）,6.0,球类运动
218,垒球，投掷,6.0,球类运动
219,田径（跳远，投标枪，撑竿跳）,6.0,其他体育运动
220,骑马，快速,6.5,其他体育运动
221,滑冰，溜冰,7.0,其他体育运动
222,滑雪,7.0,其他体育运动
223,羽毛球比赛,7.0,球类运动
224,做篮球裁判,7.0,工作
225,美式足球，轻松的,7.0,球类运动
226,网球：一般,7.3,球类运动
227,穿雪鞋行走,8.0,走路
228,篮球比赛,8.0,球类运动
229,足球,8.0,""
230,飞盘，极限强度,8.0,球类运动
231,手球，团队,8.0,球类运动
232,曲棍球，一般场地,8.0,球类运动
233,冰上曲棍球,8.0,球类运动
234,曲棍网兜球,8.0,球类运动
235,马球,8.0,球类运动
236,攀岩，坐式下降,8.0,其他体育运动
237,慢速跳绳（约＜100次/分钟）,8.8,其他体育运动
238,打网球：单打,8.0,球类运动
239,沙滩排球,8.0,球类运动
240,排球比赛（在体育馆中）,8.0,球类运动
241,速滑（速度大于14.5公里/小时）,9.0,其他体育运动
242,拳击,9.0,其他体育运动
243,足球比赛,9.0,球类运动
244,柔道，跆拳道,10.0,其他体育运动
245,手球,12.0,球类运动
246,回力球,12.0,球类运动
247,滑冰（在队列中）,12.0,其他体育运动
248,快速跳绳（约120-160次/分钟）,12.3,其他体育运动
249,壁球,12.0,球类运动
250,速滑比赛,15.0,其他体育运动
251,慢速舞蹈（华尔兹，狐步）,3.0,舞蹈
252,跳舞，爱尔兰舞，波尔卡,4.5,舞蹈
253,草裙舞，希腊舞，佛拉明哥舞，摇摆舞,4.5,舞蹈
254,芭蕾，现代舞，扭摆舞，爵士舞，踢踏舞，吉特巴舞,4.8,舞蹈
255,有氧运动，低冲击,5.0,有氧
256,快速舞蹈,5.5,舞蹈
257,传统印第安舞,5.5,舞蹈
258,有氧舞蹈,6.5,舞蹈
259,有氧舞蹈，高强度,7.0,舞蹈
260,有氧舞蹈，以6-8英寸（约15厘米-20厘米）的步伐,8.5,舞蹈
261,有氧舞蹈，以10-12英寸（约25厘米-30厘米）的步伐,10.0,舞蹈
262,拉手风琴,1.8,乐器演奏
263,拉大提琴,2.0,乐器演奏
264,吹长笛（坐着）,2.0,乐器演奏
265,弹吉他，演奏其他古典或民族乐器（坐着）,2.0,乐器演奏
266,吹号,2.0,乐器演奏
267,吹木管乐器,2.0,乐器演奏
268,钓鱼，溜冰，静坐,2.0,休闲娱乐
269,指挥乐队,2.5,乐器演奏
270,弹钢琴，弹管风琴,2.5,乐器演奏
271,吹小号，吹喇叭,2.5,乐器演奏
272,拉小提琴,2.5,乐器演奏
273,坐着乘船钓鱼,2.5,休闲娱乐
274,打猎，划船，射箭,2.5,休闲娱乐
275,打猎，涉水,2.5,休闲娱乐
276,射击（站着）,2.5,休闲娱乐
277,在摇滚乐队弹吉他（站着）,3.0,乐器演奏
278,钓鱼,3.0,休闲娱乐
279,参加乐队游行，大鼓手,3.5,乐器演奏
280,演奏长号,3.5,乐器演奏
281,钓鱼（站着）,3.5,休闲娱乐
282,打鼓,4.0,乐器演奏
283,参加乐队游行，演奏乐器，指挥,4.0,乐器演奏
284,挖蚯蚓,4.0,休闲娱乐
285,钓鱼，在河边，走动着,4.0,休闲娱乐
286,打猎,5.0,休闲娱乐
287,钓鱼，在小溪里，站着,6.0,休闲娱乐
288,给花园浇水，站着或走着,1.5,园艺活动
289,割草坪，播种，施肥,2.5,园艺活动
290,割草，播种，施肥（走动着）,2.5,园艺活动
291,清理院子，摘花（走动着）,3.0,园艺活动
292,摘水果或蔬菜，中等强度,3.0,园艺活动
293,驾驶清雪机,3.0,园艺活动
294,收拾园艺工具（走动着）,3.0,园艺活动
295,用强力清理机械清理灌木丛和树叶,3.5,园艺活动
296,园艺工作,4.0,园艺活动
297,用雪耙清理屋顶的积雪,4.0,园艺活动
298,把杂草和树叶装进麻袋,4.0,园艺活动
299,耙草坪,4.3,园艺活动
300,用强力除草机割草,4.5,园艺活动
301,操作清雪机（走动着）,4.5,园艺活动
302,插秧，种植灌木丛,4.5,园艺活动
303,种树,4.5,园艺活动
304,清理灌木丛，用手动工具,4.5,园艺活动
305,除草，种花草树木,4.5,园艺活动
306,拉木头、装卸、劈木头,5.0,园艺活动
307,清理土地和树枝，用手推车推垃圾,5.0,园艺活动
308,挖沙箱,5.0,园艺活动
309,挖坑，种植物，堆制肥料,5.0,园艺活动
310,铺碎石,5.0,园艺活动
311,植草坪,5.0,园艺活动
312,割草坪,5.5,园艺活动
313,除草，用强力割草机（走动着）,5.5,园艺活动
314,劈木头,6.0,园艺活动
315,做园艺工作，用重型机械,6.0,园艺活动
316,除草，用手动割草机（走动着）,6.0,园艺活动
317,人工铲雪,6.0,园艺活动
318,骑自行车（＜16km/h），日常低速,4.0,有氧（自行车）
319,骑独轮车,5.0,有氧（自行车）
320,骑自行车（16-19km/h），慢速,6.8,有氧（自行车）
321,骑自行车（19-22.4km/h），中等强度,8.0,有氧（自行车）
322,骑自行车，普通路况,8.0,有氧（自行车）
323,骑自行车，越野或山地,8.5,有氧（自行车）
324,骑自行车（22.5-25.5km/h），赛车,10.0,有氧（自行车）
325,骑自行车（25.7-30.6km/h），赛车,12.0,有氧（自行车）
326,骑自行车（＞32km/h），赛车,16.0,有氧（自行车）
327,走路，在家里走来走去,2.0,走路
328,走路，在平地上，速度小于3.2公里/小时,2.0,走路
329,观赏鸟类,2.5,休闲娱乐
330,推婴儿车，跟孩子一起散步,2.5,日常活动
331,从家走到车旁，或从车站走到工作场所,2.5,走路
332,慢慢走，速度3.2公里/小时,2.5,走路
333,走路下山，速度4公里/小时,2.8,走路
334,下楼,3.0,走路
335,遛狗,3.0,""
336,走路，在硬地上，速度4公里/小时,3.0,走路
337,走路，在硬地上，中等步伐，速度4.8公里/小时,3.3,走路
338,抱婴儿或提15磅的东西，平地走,3.5,走路（负重）
339,散步,2.3,走路
340,散步，工作间隙走路,2.5,走路
341,走路，在硬地上，轻快的，速度5.6公里/小时,3.8,走路
342,推轮椅（空着，没有人坐）,4.0,走路
343,走路上班或上学,3.3,走路
344,用拐杖,5.0,走路
345,走路，在硬地上，轻快的，速度6.4公里/小时,5.0,走路
346,走路，开割草机,5.0,走路
347,远足，越野,6.0,走路
348,步行，每小时4.64到5.6公里，上坡，1到5度,5.3,走路（阻力）
349,走路，在硬地上，轻快的，速度7.2公里/小时,6.3,走路
350,急行军,6.5,走路
351,竞走,6.5,走路
352,背着背包步行,7.0,走路（负重）
353,爬山,8.0,""
354,上楼梯，爬梯子,8.0,日常活动（负重）
355,快走（8km/h）,8.0,走路
356,提东西上楼,9.0,日常活动（负重）
357,提20-30kg的东西上楼,10.0,日常活动（负重）
358,提30kg以上的东西上楼,12.0,日常活动（负重）
359,跑步，6公里/小时,6.7,跑步
360,跑步，6.5公里/小时,7.2,跑步
361,跑步，7公里/小时,7.7,跑步
362,跑步，7.5公里/小时,8.1,跑步
363,山地爬坡，抗阻力,14.0,有氧（自行车）
364,山地竞赛,16.0,有氧（自行车）
365,功率自行车，90-100瓦,6.8,有氧（自行车）
366,功率自行车，101-160瓦,8.8,有氧（自行车）
367,功率自行车，161-200瓦,11.0,有氧（自行车）
368,功率自行车，201-270瓦,14.0,有氧（自行车）
369,功率自行车，疾驰,8.5,有氧（自行车）
370,高强度体操，如快速俯卧撑，仰卧起坐，引体向上,3.8,抗阻训练
371,椭圆机，中等强度,6.0,有氧（器械）
372,普拉提，常规,3.0,普拉提
373,教授健身课程,6.8,跑步
374,力量瑜伽,4.0,瑜伽
375,断食瑜伽,2.0,瑜伽
376,Keep 瑜伽：拜日式,5.3,瑜伽
377,坐姿陪跟孩子玩耍（低强度）,2.2,休闲娱乐
378,站姿陪小孩玩耍（低强度）,2.8,休闲娱乐
379,走动或跑步陪孩子玩耍（高强度）,5.8,休闲娱乐
380,抱着孩子走动，孩子体重大于等于6.75公斤,3.0,走路（负重）
381,抱着孩子走动，孩子体重小于6.75公斤,2.3,走路（负重）
382,抱孩子站立,2.0,日常活动
383,照看孩子（常规）,2.5,家务
384,照看孩子，坐姿或跪姿（低强度）,2.0,家务
385,照看孩子，站姿（中等强度）,3.0,家务
386,跟婴儿一起斜躺着,1.5,""
387,母乳哺育，坐或躺,2.0,家务
388,静坐（常规）,1.3,日常活动
389,烦躁不安的坐着，手不停的动（常规）,1.5,日常活动
390,"坐着,脚不停的动",1.8,日常活动
391,双手托着头坐着,1.3,日常活动
392,烦躁不安的站着,1.8,日常活动
393,驾驶拖拉机,2.8,日常活动
394,种植、浇灌、移栽植物（低强度）,2.0,园艺活动
395,弯腰种草或灌木（中等强度）,4.3,园艺活动
396,弯腰种庄稼或花木（中等强度）,4.3,园艺活动
397,铲泥土,5.5,园艺活动
398,走动中播种施肥,3.0,园艺活动
399,坐着玩棋盘游戏,1.5,休闲娱乐
400,坐着玩国际象棋,1.5,休闲娱乐
401,站着复制文件,1.5,休闲娱乐
402,站着绘画、写作,1.8,休闲娱乐
403,坐着大笑,1.0,日常活动
404,坐着阅读图书、报纸等,1.3,休闲娱乐
405,坐着玩视频游戏、电脑游戏,1.0,休闲娱乐
406,站着打电话，用电脑或者发短信与人交谈（低强度）,1.8,日常活动
407,坐着学习，包括读或写（低强度）,1.3,日常活动
408,坐着上课，包括记笔记或课堂讨论,1.8,日常活动
409,各种各样的活动，站姿,2.5,日常活动
410,坐着做工艺品、雕刻木头、纺织（低强度）,1.8,休闲娱乐
411,家庭聚会，放松坐着交谈、吃东西,1.8,休闲娱乐
412,家庭聚会，跟孩子们玩游戏,3.0,休闲娱乐
413,乘车旅游,2.0,休闲娱乐
414,步行旅游,3.5,休闲娱乐
415,露营（中低强度）,2.5,休闲娱乐
416,坐着看体育赛事,1.5,休闲娱乐
417,空乘服务,3.0,工作
418,装订,2.3,日常活动
419,搬运重物(例如，砖块，工具),8.0,体力活
420,酒店清理服务，铺床，打扫浴室，推车,4.0,体力活
421,煤炭的开采，常规,5.5,体力活
422,煤炭的开采、铲煤,6.3,体力活
423,消防队员，抢救受害者，处理汽车事故,6.8,体力活
424,消防队员，攀登梯子、模拟火灾演习,8.0,体力活
425,清洁工、走动中把垃圾倒进卡车,4.0,体力活
426,发型师(例如，做头发，修指甲，化妆师),1.8,工作
427,养马，包括喂马、清洁马厩，给马洗澡，刷牙、剪毛、溜马,7.3,园艺活动
428,果园工作，采摘水果,4.5,园艺活动
429,警察、指挥交通，站姿,2.5,工作
430,警察，驾驶警车，坐姿,2.5,工作
431,邮递员，投递邮件,2.3,工作
432,修鞋匠，常规,2.0,工作
433,挖水沟,7.8,体力活
434,挖掘，小于4.5公斤/分钟，中等强度,5.0,体力活
435,坐着工作，低强度(例如，办公室工作，化学实验室工作，电脑作业，轻工装配维修、手表维修、阅读、文书工作),1.5,工作
436,坐着开会、低强度，常规，与人交谈(例如，商业会议),1.5,工作
437,坐着工作，中等强度(例如，推动沉重的杠杆，操作叉车),2.5,工作
438,坐着拉伸或瑜伽教学，低强度,2.8,拉伸
439,站着工作，低强度(例如，调酒，商店的职员、装配、文件归档、复制、图书馆员),3.0,工作
440,站着工作，中低强度(例如，汇编/维修重型配件、焊接、汽车修理、包装、护理病人),3.0,工作
441,驾驶卡车、站立或走动中装卸重物,6.5,体力活
442,驾驶货运卡车、出租车、学校班车,2.0,体力活
443,使用重型电动工具(如手提钻),6.3,体力活
444,布景工作者、戏剧演员、后台工作者,3.0,体力活
445,原地慢跑,8.0,跑步
446,小步慢跑,4.5,跑步
447,跑步、19.2公里每小时(3.125分钟/公里),19.0,跑步
448,跑步、20.8公里每小时(2.885分钟/公里),19.8,跑步
449,跑步、22.4公里每小时(2.679分钟/公里),23.0,跑步
450,跑步、马拉松,13.3,跑步
451,准备睡觉，常规，站姿,2.3,日常活动
452,坐着沐浴,1.5,日常活动
453,坐着吃东西,1.5,日常活动
454,吃东西或边吃边聊天，站姿,2.0,日常活动
455,吃药，坐或站,1.5,日常活动
456,整理仪容、洗手、剃须，刷牙，化妆，坐或站,2.0,日常活动
457,美发，站姿,2.5,日常活动
458,美发或美甲，坐姿,1.3,休闲娱乐
459,淋浴，用毛巾擦拭，站姿,2.0,日常活动
460,性行为，主动，高强度,2.8,日常活动
461,性行为，常规，中等强度,1.8,日常活动
462,性行为，被动，低强度，接吻，拥抱,1.3,日常活动
463,儿童游戏，成年人玩(如跳房子，躲避球，电玩游戏)，中等强度,5.8,休闲娱乐
464,啦啦操比赛,6.0,有氧操
465,槌球,3.3,球类运动
466,冰壶,4.0,其他体育运动
467,飙车,6.0,其他体育运动
468,赛车公开赛,8.5,其他体育运动
469,击剑,6.0,其他体育运动
470,高尔夫球，常规,4.8,球类运动
471,高尔夫球，走动中，推杆,4.3,球类运动
472,微型高尔夫球、在练习场,3.0,球类运动
473,高尔夫球、走动中、拉杆,5.3,球类运动
474,高尔夫球，使用电动推车,3.5,球类运动
475,体操，常规,3.8,体操
476,高空走绳索,4.0,其他体育运动
477,悬挂式滑翔运动,3.5,其他体育运动
478,武术，不同类型、慢速，初学者,5.3,其他体育运动
479,武术，不同类型、中等强度(例如:柔术、空手道、柔道、踢拳击、跆拳道、泰拳、tai-bo拳击),10.3,其他体育运动
480,杂耍,4.0,其他体育运动
481,长曲棍球,8.0,球类运动
482,定向越野,9.0,其他体育运动
483,扳手球比赛,10.0,球类运动
484,扳手球、休闲、常规,6.0,球类运动
485,攀岩或爬山,8.0,其他体育运动
486,橄榄球比赛,8.3,球类运动
487,橄榄球、非比赛,6.3,球类运动
488,沙壶球,3.0,球类运动
489,滚轴滑冰,7.0,其他体育运动
490,观看体育赛事，很兴奋、有身体动作,3.3,休闲娱乐
491,摔跤(一场= 5分钟),6.0,其他体育运动
492,驾驶汽车和轻型卡车(非半挂式),2.5,日常活动
493,乘飞机或直升机,1.8,日常活动
494,骑摩托车,3.5,日常活动
495,步行，锻炼，使用滑雪杖,6.8,走路（阻力）
496,徒步越野,6.0,走路
497,行军，中速、无背包,4.5,走路
498,行军，快速，无背包,8.0,走路
499,推拉童车行走或怀孕时行走，4到4.96公里每小时,4.0,走路（负重）
500,步行，每小时4公里，平地,3.0,走路
501,步行，每小时4公里，下坡,3.3,走路
502,步行，每小时4.48到5.12公里、平地,3.5,走路（负重）
503,快走（5.6km/h）,4.3,走路
504,步行，锻炼，每小时5.6到6.4公里，使用滑雪杖,4.8,走路（阻力）
505,步行，每小时4.64到5.6公里，上坡，6到15度,8.0,走路（阻力）
506,步行，每小时6.4公里，平地,5.0,走路
